,Project ID,Drive Time,Tilt,Azimuth,Panel QTY,System Rating (kW DC),Inverter Manufacturer,Array Type,Squirrel Screen,Consumption Monitoring,Truss / Rafter,"Reinforce-ments",Rough Electrical Inspection,Interconnection Type,Module Length,Module Width,Module Weight,# of Arrays,# of reinforcement,Roof Type,Attachment Type,0 / 1,# of Stories,Install Season,Total Direct Time for Project for Hourly Employees (Including Drive Time),Total # of Days on Site,Total # Hourly Empoyees on Site,Estimated # of Salaried Employees on Site,Estimated Salary Hours,Estimated Total Direct Time,,Estimated Total # of People on Site,Notes,,,,,
,180,24,26,205,12,4.68,SolarEdge,1,1,0,0,0,1,A1,69.06,43.15,46.3,2,0,Asphalt Shingles,Flashfoot 2,0,1,1,52:25:00,2,3,0,0:00:00,52:25:00,,3,,,,,,
,181,7,30,180,16,6.40,Enphase,1,1,1,0,0,1,A1,71.7,40,45,1,0,Asphalt Shingles,Flashfoot 2,0,1,1,34:15:00,1,5,0,0:00:00,34:15:00,,5,,,,,,
,182,58,40,165,46,18.40,Enphase,1,1,1,0,0,0,A1,71.7,40,45,4,0,Asphalt Shingles,Flashfoot 2,0,2,1,91:35:00,3,5,1,18:19:00,109:54:00,,6,,,,,,
,183,21,20,100/190,26,10.14,Enphase,1,1,1,1,1,1,A2,69.06,43.15,46.3,3,9,Asphalt Shingles,Flashfoot 2,2,2,1,76:45:00,4,3,0,0:00:00,76:45:00,,3,,,,,,
,184,13,20,190,20,7.80,Enphase,1,1,0,0,0,0,A1,69.06,43.15,46.3,1,0,Asphalt Shingles,Flashfoot 2,0,2,1,24:00:00,2,2,1,12:00:00,36:00:00,,3,,,,,,
,185,9,30,122,18,7.29,Enphase,1,1,1,0,0,1,A1,71.7,40,45,1,0,Asphalt Shingles,Flashfoot 2,0,1,2,32:35:00,1,4,0,0:00:00,32:35:00,,4,,,,,,
,186,20,27,180,21,8.51,Enphase,1,1,0,0,0,0,A1,71.7,40,45,1,0,Asphalt Shingles,Flashfoot 2,0,2,1,32:45:00,2,2,1,16:22:30,49:07:30,,3,,,,,,
,187,28,32,180,45,17.55,SolarEdge,1,1,0,0,0,0,B1,69.06,43.15,46.3,3,0,Asphalt Shingles,Unk0wn,0,1,3,75:30:00,4,4,1,18:52:30,94:22:30,,5,,,,,,
,188,25,26,90,24,9.72,Enphase,1,1,1,0,0,0,A1,71.7,40,45,1,0,Asphalt Shingles,Flashfoot 2,0,2,1,35:30:00,2,3,0,0:00:00,35:30:00,,3,,,,,,
,189,21,34,100,18,7.29,Enphase,1,1,0,0,0,0,A4,71.7,40,45,1,0,Asphalt Shingles,Flashfoot 2,0,1,1,18:30:00,1,2,1,9:15:00,27:45:00,,3,,,,,,
,190,17,17,260,33,13.37,Enphase,1,1,1,1,0,0,A1,71.7,40,45,2,0,Asphalt Shingles,Unk0wn,0,2,1,38:45:00,2,2,0,0:00:00,38:45:00,,2,,,,,,
,191,30,30/35,255/165,18,7.29,Enphase,1,1,0,0,0,0,A1,71.7,40,45,3,0,Asphalt Shingles,Flashfoot 2,0,2,2,46:00:00,3,4,0,0:00:00,46:00:00,,4,,,,,,
,192,21,27,195,18,7.29,Enphase,1,1,0,0,0,0,A4,71.7,40,45,1,0,Asphalt Shingles,Flashfoot 2,0,1,2,36:30:00,1,4,0,0:00:00,36:30:00,,4,,,,,,
,193,14,23,210,26,10.53,Enphase,1,1,0,0,0,0,A3,71.7,40,45,1,0,Asphalt Shingles,Flashfoot 2,0,1,2,57:05:00,2,4,0,0:00:00,57:05:00,,4,,,,,,
,194,25,30,180,44,23.54,Enphase,Ground Mount,1,1,2,0,0,C3,89.69,44.65,70.11,1,0,Ground Mount,Ground Mount,1,0,2,195:25:00,5,5,1,39:05:00,234:30:00,,6,,,,,,
,195,19,30,180,38,15.39,Enphase,1,1,0,0,0,0,A1,71.7,40,45,2,0,Asphalt Shingles,Flashfoot 2,0,2,2,125:35:00,4,5,1,25:07:00,150:42:00,,6,,,,,,
,196,12,17,180,17,6.89,Enphase,1,1,1,0,0,0,A1,71.7,40,45,1,0,Asphalt Shingles,Flashfoot 2,0,2,1,24:30:00,1,3,0,0:00:00,24:30:00,,3,,,,,,
,197,28,27,90,18,7.29,Enphase,1,0,0,0,0,1,A1,71.7,40,45,1,0,Asphalt Shingles,Flashfoot 2,0,2,2,38:00:00,1,5,0,0:00:00,38:00:00,,5,,,,,,
,198,14,19,262,20,8.10,Enphase,1,1,1,1,0,0,A1,71.7,40,45,1,0,Asphalt Shingles,Flashfoot 2,0,1,2,54:15:00,2,4,0,0:00:00,54:15:00,,4,,,,,,
,199,1 hour 2,22.6,180,18,7.29,Enphase,1,0,0,1,0,0,A1,71.7,40,45,1,0,Standing Seam Metal Roof,S-5!,0,2,2,57:40:00,2,5,0,0:00:00,57:40:00,,5,,,,,,
,200,1 hour 3,14,180,15,6.15,Enphase,1,1,0,1,0,0,A4,73.4,40.5,45.8,1,0,Asphalt Shingles,Unk0wn,1,1,2,48:50:00,1,5,0,0:00:00,48:50:00,,5,,,,,,
,201,27,27,170,16,6.48,Enphase,1,1,1,0,0,1,A1,71.7,40,45,1,0,Asphalt Shingles,Flashfoot 2,0,1,2,37:35:00,1,5,0,0:00:00,37:35:00,,5,,,,,,
,202,41,22.6,195,18,7.29,Enphase,1,1,0,0,0,0,A1,71.7,40,45,1,0,Asphalt Shingles,Flashfoot 2,0,2,2,38:25:00,2,5,0,0:00:00,38:25:00,,5,New Construction - Lots of trips,,,,,
,203,36,30,180,20,9.00,SolarEdge,Ground Mount,0,0,2,0,0,A1,84.06,41.19,68.34,2,0,Ground Mount,Ground Mount,0,0,2,104:50:00,3,4,1,26:12:30,131:02:30,,5,Long Trench,,,,,
,204,28,26.6,190,22,8.91,Enphase,1,1,1,0,0,0,B*,71.7,40,45,1,0,Asphalt Shingles,Flashfoot 2,0,1,2,30:30:00,1,4,0,0:00:00,30:30:00,,4,,,,,,
,205,7,22.6,90/180/270,28,11.34,Enphase,1,1,1,0,0,1,A1,71.7,40,45,3,0,Asphalt Shingles,Flashfoot 2,0,2,2,69:20:00,2,5,0,0:00:00,69:20:00,,5,,,,,,
,206,7,18.4,225,6,2.34,Enphase,1,1,0,0,0,1,A4,69.06,43.15,46.3,1,0,Asphalt Shingles,Unk0wn,0,1,2,58:30:00,3,5,0,0:00:00,58:30:00,,5,Detached building + trench,,,,,
,207,12,22,180/270,30,12.15,Enphase,1,0,1,0,0,0,A*,71.7,40,45,4,0,Standing Seam Metal Roof,S-5!,0,2,2,67:40:00,3,5,0,0:00:00,67:40:00,,5,,,,,,
,208,23,21,180,8,3.24,Enphase,1,1,0,1,1,1,A4,71.7,40,45,1,1,Asphalt Shingles,RT Mini,1,2,2,36:00:00,1,4,0,0:00:00,36:00:00,,4,,,,,,
,209,28,38,180,13,5.07,Enphase,1,1,0,0,0,0,A1,69.06,43.15,46.3,1,0,Asphalt Shingles,Flashfoot 2,0,1,2,33:10:00,1,4,0,0:00:00,33:10:00,,4,,,,,,
,210,34,18.4,165,30,12.15,Enphase,1,1,1,0,0,0,A1,71.7,40,45,2,0,Asphalt Shingles,RT Mini,0,2,2,84:25:00,2,5,0,0:00:00,84:25:00,,5,New Construction,,,,,
,211,29,26.6,180,20,8.10,Enphase,1,1,1,0,0,0,A1,71.7,40,45,1,0,Asphalt Shingles,Flashfoot 2,0,1,2,34:15:00,1,4,0,0:00:00,34:15:00,,4,,,,,,
,212,24,50,90/180/270,13,5.27,Enphase,1,1,0,1,1,1,C1,71.7,40,45,4,3,Asphalt Shingles,Flashfoot 2,0,2,3,71:15:00,2,4,0,0:00:00,71:15:00,,4,,,,,,
,213,23,9.5,0,32,12.48,Enphase,1,1,1,4,0,1,A*,69.06,43.15,46.3,1,0,Standing Seam Metal Roof,S-5!,0,3,2,67:30:00,2,4,1,16:52:30,84:22:30,,5,Really weird project,,,,,
,214,29,30,18,48,23.28,SolarEdge,Ground Mount,0,0,2,0,0,C3,87.2,41.1,64.2,2,0,Ground Mount,Ground Mount,0,0,3,117:00:00,4,4,1,29:15:00,146:15:00,,5,Long trench,,,,,
,215,28,18,185,25,10.13,Enphase,1,1,1,0,0,0,A2,71.7,40,45,1,0,Asphalt Shingles,Flashfoot 2,0,1,2,66:50:00,2,5,0,0:00:00,66:50:00,,5,,,,,,
,216,21,26,180,26,10.53,Enphase,1,1,0,0,0,0,A1,71.7,40,45,1,0,Asphalt Shingles,Flashfoot 2,0,2,3,36:45:00,1,4,0,0:00:00,36:45:00,,4,,,,,,
,217,21,26,180,35,14.18,Enphase,1,1,1,0,0,0,C1,71.7,40,45,4,0,Asphalt Shingles,Flashfoot 2,0,2,3,78:15:00,3,4,0,0:00:00,78:15:00,,4,,,,,,
,218,25,18.4,180,26,10.53,Enphase,1,1,1,0,0,0,A3,71.7,40,45,3,0,Asphalt Shingles,Flashfoot 2,0,2,3,65:45:00,2,4,0,0:00:00,65:45:00,,4,,,,,,
,219,23,24,215,6,2.34,Enphase,1,1,0,0,0,0,A*,69.06,43.15,46.3,1,0,Asphalt Shingles,Flashview,0,1,3,73:30:00,3,4,0,0:00:00,73:30:00,,4,system addition,,,,,
,220,27,24,180,16,6.48,Enphase,1,1,0,0,0,1,B1,71.7,40,45,1,0,Asphalt Shingles,Flashfoot 2,0,2,3,35:30:00,1,4,0,0:00:00,35:30:00,,4,,,,,,
,222,20,30,160,39,15.80,Enphase,1,1,1,0,0,0,A*,71.7,40,45,2,0,Asphalt Shingles,Flashfoot 2,0,2,3,70:00:00,3,4,0,0:00:00,70:00:00,,4,,,,,,
,223,28,10,90,18,7.02,Enphase,1,1,0,4,0,1,A1,69.06,43.15,46.3,1,0,Asphalt Shingles,RT Mini,1,1,3,62:30:00,3,4,1,15:37:30,78:07:30,,5,New Construction,,,,,
,224,18,30,180/90,20,8.20,Enphase,1,1,0,0,0,0,A4,73.4,40.5,45.8,1,0,Asphalt Shingles,Flashfoot 2,2,2,3,37:45:00,1,4,0,0:00:00,37:45:00,,4,,,,,,
,225,30,27/8,270/180/90,28,11.34,Enphase,1,1,1,0,0,0,A1,71.7,40,45,3,0,Asphalt Shingles,Unk0wn,0,2,3,58:15:00,2,4,0,0:00:00,58:15:00,,4,,,,,,
,226,39,33,165,26,10.53,Enphase,1,1,1,0,0,0,A1,71.7,40,45,1,0,Asphalt Shingles,Flashfoot 2,0,1,3,27:45:00,1,4,0,0:00:00,27:45:00,,4,,,,,,
,227,21,30,135,22,8.91,Enphase,1,1,1,1,1,1,B2,71.7,40,45,2,11,Asphalt Shingles,Flashfoot 2,0,2,3,56:00:00,3,4,0,0:00:00,56:00:00,,4,,,,,,
,228,51,30,180,20,9.60,SolarEdge,Ground Mount,0,0,2,0,0,C*,87.2,41.1,64.2,1,0,Ground Mount,Ground Mount,1,0,3,90:45:00,3,4,1,22:41:15,113:26:15,,5,,,,,,
,229,26,17,165/225,26,10.53,Enphase,1,1,1,1,1,0,A1,71.7,40,45,3,18,Asphalt Shingles,Flashfoot 2,0,1,3,58:00:00,3,4,0,0:00:00,58:00:00,,4,"Some rework after the fact, but I don't think it's included in the time tracking data",,,,,
,230,29,27,180,20,7.80,Enphase,1,1,0,1,1,0,A1,69.06,43.15,46.3,1,10,Asphalt Shingles,Flashfoot 2,0,1,0,57:15:00,2,4,0,0:00:00,57:15:00,,4,,,,,,
,231,20,27,170,24,9.36,SolarEdge,1,1,0,4,0,0,A1,69.06,43.15,46.3,1,0,Asphalt Shingles,Flashfoot 2,0,1,0,50:45:00,2,4,0,0:00:00,50:45:00,,4,,,,,,
,232,42,26,180,2,0.74,N/A,1,,,1,1,0,A1,70.67,39.98,41.9,1,0,Asphalt Shingles,Flashfoot 2,0,1,3,6:00:00,1,1,1,6:00:00,12:00:00,,2,,,,,,
,233,31,18,90,20,8.10,Enphase,1,1,0,1,1,0,A1,71.7,40,45,1,12,Asphalt Shingles,Flashfoot 2,0,1,3,35:15:00,1,4,0,0:00:00,35:15:00,,4,,,,,,
,238,20,18.4,180,8,3.24,Enphase,1,0,0,3,0,1,A1,71.7,40,45,1,0,Ag Metal,Ejot,1,1,3,45:00:00,2,4,0,0:00:00,45:00:00,,4,,,,,,
,239,26,18.4,180/270,26,10.53,Enphase,1,1,1,0,0,1,A1,71.7,40,45,2,0,Asphalt Shingles,Flashfoot 2,0,1,0,58:45:00,2,4,0,0:00:00,58:45:00,,4,,,,,,
,240,30,17.5,180,60,24.30,Enphase,1,0,0,3,0,0,C3,71.7,40,45,1,0,Ag Metal,Ejot,1,1,2,89:45:00,3,4,0,0:00:00,89:45:00,,4,,,,,,
,241,40,22.6,225,16,6.48,Enphase,1,0,0,0,0,0,A1,71.7,40,45,1,0,Standing Seam Metal Roof,S-5!,0,1,1,31:15:00,1,4,0,0:00:00,31:15:00,,4,,,,,,
,242,52,17,176/86,40,17.60,SolarEdge,1,1,0,0,0,0,C2,89.69,44.65,57.32,2,0,Asphalt Shingles,Flashfoot 2,0,2,0,71:05:00,4,4,0,0:00:00,71:05:00,,4,,,,,,
,244,7,33.7,180,7,2.84,Enphase,1,1,0,1,0,1,A1,71.7,40,45,1,0,Asphalt Shingles,Flashfoot 2,0,1,0,29:00:00,1,4,0,0:00:00,29:00:00,,4,,,,,,
,245,27,19,180,18,7.29,Enphase,1,1,0,0,0,1,A1,71.7,40,45,3,0,Asphalt Shingles,Flashfoot 2,0,2,0,59:30:00,2,4,0,0:00:00,59:30:00,,4,,,,,,
,246,30,18,206/116,19,7.70,Enphase,1,1,0,1,0,0,A4,71.7,40,45,2,0,Asphalt Shingles,Flashfoot 2,0,1,0,34:30:00,1,4,0,0:00:00,34:30:00,,4,,,,,,
,247,25,18/27,225/135/45,16,7.04,GoodWe,1,1,0,0,0,0,A1,89.69,44.65,57.32,3,0,Asphalt Shingles,Flashview,2,2,1,40:40:00,2,4,0,0:00:00,40:40:00,,4,Adjusted direct time due to time tracking errors,,,,,
,248,25,18/27,225/135,16,7.04,GoodWe,1,1,0,0,0,0,A1,89.69,44.65,57.32,2,0,Asphalt Shingles,Flashview,2,2,1,40:40:00,3,4,0,0:00:00,40:40:00,,4,Adjusted direct time due to time tracking errors,,,,,
,249,25,18/27,225/135/45,16,7.04,GoodWe,1,1,0,0,0,0,A1,89.69,44.65,57.32,3,0,Asphalt Shingles,Flashview,2,2,1,40:40:00,2,4,0,0:00:00,40:40:00,,4,Adjusted direct time due to time tracking errors,,,,,
,250,25,18/27,225/135,16,7.04,GoodWe,1,1,0,0,0,0,A1,89.69,44.65,57.32,2,0,Asphalt Shingles,Flashview,2,2,1,40:40:00,2,4,0,0:00:00,40:40:00,,4,Adjusted direct time due to time tracking errors,,,,,
,251,50,22.6,230,36,15.12,SolarEdge,1,1,0,0,0,0,C3,68.1,44,47.4,1,0,Asphalt Shingles,Flashfoot 2,0,3,0,86:45:00,5,4,0,0:00:00,86:45:00,,4,,,,,,
,252,23,38,135/225,13,5.27,Enphase,1,1,1,1,1,1,A1,71.7,40,45,3,10,Asphalt Shingles,Hugs,0,1,1,61:15:00,2,4,0,0:00:00,61:15:00,,4,,,,,,
,253,9,33,185/95,26,10.53,Enphase,1,1,1,0,0,1,A4,71.7,40,45,3,0,Asphalt Shingles,RT Mini,2,1,0,58:15:00,3,4,0,0:00:00,58:15:00,,4,,,,,,
,254,36,27,200/110,33,13.37,Enphase,1,1,1,0,0,0,A1,71.7,40,45,3,0,Asphalt Shingles,Flashfoot 2,2,2,1,79:15:00,2,5,0,0:00:00,79:15:00,,5,,,,,,
,255,27,18.4,180,20,8.10,Enphase,1,1,1,0,0,1,A1,71.7,40,45,1,0,Asphalt Shingles,Hugs,0,1,0,33:30:00,1,4,0,0:00:00,33:30:00,,4,,,,,,
,256,21,35,180,26,10.53,Enphase,1,1,1,0,0,0,C1,71.7,40,45,1,0,Asphalt Shingles,Flashfoot 2,0,2,1,70:30:00,3,3,0,0:00:00,70:30:00,,3,High winds slowed us down,,,,,
,257,25,24/14,90/180/270,25,10.00,Enphase,1,1,0,0,0,1,A4,74.8,40.9,48,4,0,Asphalt Shingles,Unk0wn,2,2,1,62:15:00,2,4,0,0:00:00,62:15:00,,4,,,,,,
,258,46,18,220/130,20,8.00,Enphase,1,1,1,0,0,0,A1,74.8,40.9,48,2,0,Asphalt Shingles,Flashfoot 2,0,2,0,78:15:00,3,4,1,19:33:45,97:48:45,,5,,,,,,
,259,18,45,90,18,7.20,Enphase,1,1,0,1,0,1,A1,74.8,40.9,48,1,0,Asphalt Shingles,Flashview,0,1,1,39:00:00,2,3,0,0:00:00,39:00:00,,3,,,,,,
,260,46,10,185,47,18.80,Enphase,1,0,0,0,0,0,C3,74.8,40.9,48,1,0,Standing Seam Metal Roof,S-5!,0,1,1,53:30:00,2,3,0,0:00:00,53:30:00,,3,,,,,,
,261,27,27,180/90,13,5.20,Enphase,1,1,1,0,0,1,A4,74.8,40.9,48,2,0,Asphalt Shingles,Flashfoot 2,0,1,1,24:00:00,1,3,0,0:00:00,24:00:00,,3,,,,,,
,262,26,26,90/180,12,4.86,Enphase,1,1,0,0,0,1,A1,71.7,40,45,2,0,Asphalt Shingles,Flashview,0,1,1,38:00:00,2,4,0,0:00:00,38:00:00,,4,,,,,,
,263,26,26,225,12,4.86,Enphase,1,1,0,0,0,1,A1,71.7,40,45,2,0,Asphalt Shingles,Flashfoot 2,0,1,1,25:15:00,1,4,0,0:00:00,25:15:00,,4,,,,,,
,264,26,26,90/180,12,4.86,Enphase,1,1,0,0,0,1,A1,71.7,40,45,3,0,Asphalt Shingles,Flashview,0,1,0,41:00:00,2,3,0,0:00:00,41:00:00,,3,,,,,,
,265,30,34,110/200,31,12.56,Enphase,1,1,1,0,0,1,A1,71.7,40,45,3,0,Asphalt Shingles,Flashfoot 2,0,2,1,101:15:00,6,4,0,0:00:00,101:15:00,,4,Rough electrical ahead of time. Also installed an EV charger,,,,,
,266,24,27,220,14,5.60,Enphase,1,1,1,0,0,0,C2,74.8,40.9,48,1,0,Asphalt Shingles,Flashview,0,1,1,37:15:00,2,4,0,0:00:00,37:15:00,,4,,,,,,
,267,31,20,100/190,34,13.77,Enphase,1,1,1,0,0,0,A1,71.7,40,45,4,0,Asphalt Shingles,Flashfoot 2,0,2,1,86:30:00,4,5,0,0:00:00,86:30:00,,5,,,,,,
,268,28,18,170,24,9.60,Enphase,1,1,0,0,0,0,A1,74.8,40.9,48,1,0,Asphalt Shingles,Flashfoot 2,0,1,1,26:30:00,1,3,0,0:00:00,26:30:00,,3,,,,,,
,269,20,33,145/232,20,8.00,Enphase,1,1,1,0,0,0,A3,74.8,40.9,48,3,0,Asphalt Shingles,Flashfoot 2,0,2,1,67:30:00,2,5,0,0:00:00,67:30:00,,5,,,,,,
,270,30,18,180,19,7.60,Enphase,1,0,0,0,0,0,A1,74.8,40.9,48,1,0,Standing Seam Metal Roof,S-5!,0,1,1,52:45:00,2,4,0,0:00:00,52:45:00,,4,,,,,,
,271,48,30,180,22,10.67,SolarEdge,Ground Mount,0,0,2,0,0,A4,87.2,41.1,64.2,1,0,Ground Mount,Ground Mount,0,0,1,75:45:00,2,4,0,0:00:00,75:45:00,,4,,,,,,
,272,29,27,180,26,10.40,Enphase,1,1,0,0,0,0,A3,74.8,40.9,48,2,0,Asphalt Shingles,Flashfoot 2,0,1,1,38:00:00,1,4,0,0:00:00,38:00:00,,4,,,,,,
,273,56,30,180,22,10.67,SolarEdge,Ground Mount,0,0,2,0,0,A*,87.2,41.1,64.2,1,0,Ground Mount,Ground Mount,0,0,1,55:30:00,3,4,0,0:00:00,55:30:00,,4,Trenching,,,,,
,274,23,34,210,40,16.00,Enphase,1,1,1,0,0,0,A1,74.8,40.9,48,1,0,Asphalt Shingles,Flashview,0,1,1,53:30:00,2,3,0,0:00:00,53:30:00,,3,"Some electrical re-work after the fact, but I don't think it's included in the time tracking",,,,,
,275,47,22.6,90,40,16.00,Enphase,1,0,0,3,1,0,B2,74.8,40.9,48,1,56,Ag Metal,Ejot,1,1,3,83:45:00,3,5,0,0:00:00,83:45:00,,5,A super weird one,,,,,
,276,11,45,195,12,4.80,Enphase,1,0,0,1,0,1,A1,74.8,40.9,48,1,0,Standing Seam Metal Roof,S-5!,0,1,1,40:15:00,2,4,0,0:00:00,40:15:00,,4,,,,,,
,277,11,47,195,21,8.51,Enphase,1,1,1,1,0,1,A1,71.7,40,45,2,0,Asphalt Shingles,Flashfoot 2,0,2,1,49:00:00,3,4,0,0:00:00,49:00:00,,4,,,,,,
,278,26,18.4,236,28,11.20,Enphase,1,1,0,0,0,0,A1,74.8,40.9,48,2,0,Asphalt Shingles,Flashview,0,2,1,16:30:00,1,2,0,0:00:00,16:30:00,,2,,,,,,
,279,28,27,180,30,12.00,Enphase,1,1,0,0,0,0,A4,74.8,40.9,48,1,0,Asphalt Shingles,Flashfoot 2,0,2,2,75:15:00,2,5,0,0:00:00,75:15:00,,5,,,,,,
,280,26,27,210,12,4.80,Enphase,1,1,0,0,0,1,A1,71.7,40,45,2,0,Asphalt Shingles,Flashview,0,1,2,30:00:00,1,5,0,0:00:00,30:00:00,,5,,,,,,
,281,26,27,120/210,12,4.80,Enphase,1,1,0,0,0,1,A1,71.7,40,45,2,0,Asphalt Shingles,Flashview,0,1,2,30:00:00,1,5,0,0:00:00,30:00:00,,5,,,,,,
,282,26,27,129,12,4.80,Enphase,1,1,0,0,0,1,A1,71.7,40,45,2,0,Asphalt Shingles,Flashview,0,1,2,25:00:00,1,5,0,0:00:00,25:00:00,,5,,,,,,
,283,26,27,135,12,4.80,Enphase,1,1,0,0,0,1,A1,71.7,40,45,1,0,Asphalt Shingles,Flashview,0,1,2,30:30:00,2,5,0,0:00:00,30:30:00,,5,,,,,,
,284,27,27,146,12,4.80,Enphase,1,1,0,0,0,1,A2,71.7,40,45,2,0,Asphalt Shingles,Flashview,0,1,2,34:00:00,1,5,0,0:00:00,34:00:00,,5,,,,,,
,285,24,16.5,150,12,5.04,Enphase,1,1,1,1,1,1,A1,73.4,40.9,47.8,1,10,Asphalt Shingles,Unk0wn,0,1,2,38:30:00,1,5,0,0:00:00,38:30:00,,5,,,,,,
,286,29,25,180,12,4.80,Enphase,1,1,0,0,0,1,A1,74.8,40.9,48,1,0,Asphalt Shingles,Flashfoot 2,0,1,2,48:15:00,2,5,0,0:00:00,48:15:00,,5,,,,,,
,287,23,27,267,24,9.60,Enphase,1,1,0,0,0,0,A1,74.8,40.9,48,1,0,Asphalt Shingles,Flashfoot 2,0,2,2,36:30:00,1,5,0,0:00:00,36:30:00,,5,,,,,,
,288,8,33.7,260,16,6.72,Enphase,1,1,0,1,0,1,A1,73.4,40.9,47.8,3,0,Asphalt Shingles,Flashfoot 2,0,2,2,44:45:00,2,5,0,0:00:00,44:45:00,,5,,,,,,
,289,9,27,182,17,7.82,Enphase,1,1,1,0,0,1,A1,68,47.4,50,3,0,Asphalt Shingles,Flashfoot 2,2,2,2,47:30:00,1,5,0,0:00:00,47:30:00,,5,,,,,,
,290,46,33/37,247/157/67,26,10.92,Enphase,1,1,0,1,1,0,A1,73.4,40.9,47.8,3,17,Asphalt Shingles,Hugs,0,2,2,90:30:00,2,5,0,0:00:00,90:30:00,,5,,,,,,
,291,13,18.4/9.4,178.5,36,14.40,Enphase,1,1,0,0,0,0,A1,74.8,40.9,48,2,0,Asphalt Shingles,Flashfoot 2,0,2,2,73:45:00,2,5,0,0:00:00,73:45:00,,5,New Construction,,,,,
,292,8,45,180,14,5.60,Enphase,1,1,1,0,0,1,A1,74.8,40.9,48,1,0,Asphalt Shingles,Flashfoot 2,0,1,2,35:00:00,1,4,0,0:00:00,35:00:00,,4,,,,,,
,293,4,27,226,12,4.80,Enphase,1,1,0,0,0,1,A1,74.8,40.9,48,1,0,Asphalt Shingles,Flashfoot 2,0,2,2,40:00:00,1,5,0,0:00:00,40:00:00,,5,,,,,,
,294,38,26,168,13,5.20,Enphase,1,1,0,0,0,0,A4,74.8,40.9,48,1,0,Asphalt Shingles,Flashfoot 2,0,1,2,36:30:00,1,5,0,0:00:00,36:30:00,,5,,,,,,
,295,27,33.7,175,16,7.36,Enphase,1,1,1,0,0,1,A1,68,47.4,50,1,0,Asphalt Shingles,Flashfoot 2,2,2,2,44:30:00,1,5,0,0:00:00,44:30:00,,5,,,,,,
,296,28,18,260,18,7.20,Enphase,1,1,1,1,0,1,A1,74.8,40.9,48,1,0,Asphalt Shingles,Flashfoot 2,0,1,2,33:15:00,1,4,0,0:00:00,33:15:00,,4,,,,,,
,297,41,18.4,84,33,13.53,Enphase,1,0,0,3,0,0,C*,69.37,44.65,47,1,0,Ag Metal,Ejot,1,1,2,78:15:00,2,5,0,0:00:00,78:15:00,,5,,,,,,
,298,23,18.4,189.4,9,3.60,Enphase,1,1,0,0,0,1,A1,74.8,40.9,48,1,0,Asphalt Shingles,Flashfoot 2,1,2,2,40:15:00,1,5,0,0:00:00,40:15:00,,5,,,,,,
,299,29,30,148,26,10.92,Enphase,1,1,1,0,0,0,A1,73.4,40.9,47.8,2,0,Asphalt Shingles,Flashfoot 2,0,2,2,54:15:00,1,5,0,0:00:00,54:15:00,,5,,,,,,
,300,20,33/40,134/223,32,12.80,Enphase,1,1,1,0,0,0,C3,74.8,40.9,48,2,0,Asphalt Shingles,Flashfoot 2,0,1,2,69:30:00,2,5,0,0:00:00,69:30:00,,5,,,,,,
,301,19,34,180,18,8.28,Enphase,1,1,0,0,0,0,A1,68,47.4,50,1,0,Asphalt Shingles,Flashfoot 2,0,2,2,46:00:00,1,5,0,0:00:00,46:00:00,,5,,,,,,
,302,25,33,90/180/270,18,7.20,Enphase,1,1,1,0,0,1,A1,74.8,40.9,48,3,0,Asphalt Shingles,Flashfoot 2,2,2,2,67:00:00,3,5,0,0:00:00,67:00:00,,5,,,,,,
,303,22,37.5,138,8,3.20,Enphase,1,1,1,1,1,1,A1,74.8,40.9,48,1,12,Asphalt Shingles,Hugs,1,1,2,40:15:00,1,5,0,0:00:00,40:15:00,,5,,,,,,
,304,25,27,90/180,21,9.66,Enphase,1,1,0,0,0,1,A1,68,47.4,50,2,0,Asphalt Shingles,Flashfoot 2,0,1,2,49:30:00,2,5,0,0:00:00,49:30:00,,5,,,,,,
,305,28,35,90,20,8.00,Enphase,1,0,0,0,0,1,A1,74.8,40.9,48,1,0,Asphalt Shingles,Flashfoot 2,2,2,3,29:15:00,1,3,0,0:00:00,29:15:00,,3,,,,,,
,306,13,37/23,90/180,33,13.53,Enphase,1,1,0,0,0,1,A3,69.37,44.65,47,2,0,Asphalt Shingles,Flashfoot 2,0,1,3,89:30:00,2,5,0,0:00:00,89:30:00,,5,,,,,,
,307,30,18,302/213,26,10.40,Enphase,1,1,1,0,0,0,A1,74.8,40.9,48,3,0,Asphalt Shingles,Flashfoot 2,0,2,2,38:30:00,1,4,0,0:00:00,38:30:00,,4,,,,,,
,308,12,37,180,14,5.60,Enphase,1,1,0,0,0,1,A1,74.8,40.9,48,1,0,Asphalt Shingles,Flashfoot 2,2,2,3,43:30:00,1,5,0,0:00:00,43:30:00,,5,,,,,,
,309,18,11,181,18,7.20,Enphase,1,1,0,0,0,1,A1,74.8,40.9,48,2,0,Asphalt Shingles,Flashfoot 2,0,2,2,42:15:00,1,5,0,0:00:00,42:15:00,,5,,,,,,
,310,8,22/36,138/228,10,4.00,Enphase,1,1,1,0,0,1,A1,74.8,40.9,48,3,0,Asphalt Shingles,Hugs,0,1,2,30:00:00,1,4,0,0:00:00,30:00:00,,4,,,,,,
,311,31,18.4,189/99,26,10.14,Enphase,1,1,1,0,0,0,A1,69.06,43.15,46.3,2,0,Asphalt Shingles,Flashfoot 2,0,1,3,27:30:00,1,3,0,0:00:00,27:30:00,,3,,,,,,
