,Project ID,Drive Time,Tilt,Azimuth,Panel QTY,System Rating (kW DC),Inverter Manufacturer,Array Type,Squirrel Screen,Consumption Monitoring,Truss / Rafter,"Reinforce-ments",Rough Electrical Inspection,Interconnection Type,Module Length,Module Width,Module Weight,# of Arrays,# of reinforcement,Roof Type,Attachment Type,0 / 1,# of Stories,Install Season,Total Direct Time for Project for Hourly Employees (Including Drive Time),Total # of Days on Site,Total # Hourly Empoyees on Site,Estimated # of Salaried Employees on Site,Estimated Salary Hours,Estimated Total Direct Time,,Estimated Total # of People on Site,Notes,,,,,
,027,28,20,,14,4.90,SMA,1,0,,0,0,1,A1,69.44,41.26,46.5,2,0,Asphalt Shingles,Flashfoot 2,0,2,2,31:15:00,2,3,2,20:50:00,52:05:00,,5,,,,,,
,028,25,24,180,22,7.81,Enphase,1,1,,0,0,1,A2,68.5,41,41,3,0,Asphalt Shingles,Flashfoot 2,0,2,2,39:00:00,3,2,2,39:00:00,78:00:00,,4,,,,,,
,029,4,25,165,11,4.07,SolarEdge,1,0,,0,0,1,A1,70.67,39.98,41.9,1,0,Asphalt Shingles,Flashfoot 2,0,1,2,23:45:00,2,2,2,23:45:00,47:30:00,,4,,,,,,
,030,16,18,180,13,4.29,Enphase,1,0,,0,0,0,A1,66.9,39.4,41,1,0,Asphalt Shingles,Flashfoot 2,0,1,2,17:30:00,2,2,3,26:15:00,43:45:00,,5,,,,,,
,031,26,34,260,15,5.10,SolarEdge,1,0,,0,0,0,A1,68.5,40.5,43.9,2,0,Asphalt Shingles,Flashfoot 2,0,2,2,24:55:00,1,3,3,24:55:00,49:50:00,,6,,,,,,
,032,12,19,177/260,16,5.92,Enphase,1,0,,0,0,0,A1,70.67,39.98,41.9,2,0,Asphalt Shingles,Flashfoot 2,0,1,2,26:10:00,1,3,3,26:10:00,52:20:00,,6,,,,,,
,033,13,18,200,11,4.07,SolarEdge,1,1,,1,1,0,B2,70.67,39.98,41.9,1,18,Asphalt Shingles,Flashfoot 2,0,1,2,24:10:00,1,3,3,24:10:00,48:20:00,,6,,,,,,
,034,42,30,180,13,4.81,SolarEdge,1,0,,1,1,0,C2,70.67,39.98,41.9,1,11,Asphalt Shingles,Flashfoot 2,0,1,2,29:10:00,1,3,3,29:10:00,58:20:00,,6,,,,,,
,035,15,25,270,23,7.59,SolarEdge,1,0,,0,0,0,A1,66.53,39.21,39.7,1,0,Asphalt Shingles,Flashfoot 2,0,1,2,26:45:00,1,3,3,26:45:00,53:30:00,,6,,,,,,
,036,21,30,180,13,4.81,Enphase,1,1,,0,0,1,A1,70.67,39.98,41.9,1,0,Asphalt Shingles,Flashfoot 2,0,1,2,25:15:00,1,3,3,25:15:00,50:30:00,,6,,,,,,
,037,26,38,173,9,4.05,Enphase,1,0,,1,0,1,A3,83.07,41,50.71,1,0,Standing Seam Metal Roof,S-5!,1,1,3,71:00:00,3,3,3,71:00:00,142:00:00,,6,,,,,,
,038,15,16,192,29,10.73,Enphase,1,1,,0,0,1,C1,70.67,39.98,41.9,2,0,Asphalt Shingles,Flashfoot 2,0,2,2,37:57:00,2,3,3,37:57:00,75:54:00,,6,,,,,,
,039,25,18,157,16,6.08,SolarEdge,1,0,,1,0,1,B2,72.4,40.6,43,2,0,Asphalt Shingles,Flashfoot 2,0,1,2,28:22:00,1,3,3,28:22:00,56:44:00,,6,,,,,,
,040,22,,148/240,43,15.70,Enphase,1,0,,0,0,0,C1,67.8,40,43,8,0,Asphalt Shingles,Flashfoot 2,0,2,2,76:15:00,3,3,3,76:15:00,152:30:00,,6,,,,,,
,041,36,30,260,36,13.32,SolarEdge,1,0,,0,0,0,C*,70.67,39.98,41.9,1,0,Asphalt Shingles,Flashfoot 2,0,1,2,54:54:00,3,3,3,54:54:00,109:48:00,,6,,,,,,
,042,25,10,162,16,5.28,SolarEdge,1,0,,0,0,1,B2,66.9,39.4,41,1,0,Standing Seam Metal Roof,S-5!,0,1,2,17:30:00,1,2,3,26:15:00,43:45:00,,5,,,,,,
,044,22,20/37,215/125,21,7.77,Enphase,1,1,,0,0,0,A1,70.67,39.98,41.9,3,0,Asphalt Shingles,Flashfoot 2,0,2,3,23:45:00,2,3,3,23:45:00,47:30:00,,6,,,,,,
,045,10,23,135,9,3.33,Enphase,1,1,,1,1,1,B2,70.67,39.98,41.9,1,11,Asphalt Shingles,Flashfoot 2,0,1,2,33:10:00,2,3,3,33:10:00,66:20:00,,6,,,,,,
,046,16,30,180,54,23.22,Enphase,Ground Mount,0,,2,0,0,C2,81.89,40.56,55.11,2,0,Ground Mount,Ground Mount,0,0,3,104:40:00,8,3,3,104:40:00,209:20:00,,6,,,,,,
,047,18,28,200,14,5.18,SolarEdge,1,1,,0,0,0,A1,70.67,39.98,41.9,1,0,Asphalt Shingles,Flashfoot 2,0,1,3,13:30:00,2,1,3,40:30:00,54:00:00,,4,,,,,,
,049,43,25,180,20,7.40,Enphase,1,0,,0,0,0,A3,70.67,39.98,41.9,1,0,Asphalt Shingles,Flashfoot 2,0,2,3,41:30:00,3,2,3,62:15:00,103:45:00,,5,,,,,,
,050,56,30,180,48,17.76,SolarEdge,Ground Mount,0,,2,0,0,C*,70.67,39.98,41.9,2,0,Ground Mount,Ground Mount,0,0,3,129:00:00,7,3,3,129:00:00,258:00:00,,6,,,,,,
,051,27,24,180/90,19,7.03,Enphase,1,0,,0,0,1,A2,70.67,39.98,41.9,2,0,Asphalt Shingles,Flashfoot 2,0,2,3,24:30:00,1,3,3,24:30:00,49:00:00,,6,,,,,,
