,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Project ID,Drive Time,Tilt,Azimuth,Panel QTY,System Rating (kW DC),Inverter Manufacturer,Array Type,Squirrel Screen,Consumption Monitoring,Truss / Rafter,"Reinforcements",Rough Electrical Inspection,Interconnection Type,Module Length,Module Width,Module Weight,# of Arrays,# of reinforcement,Roof Type,Attachment Type,Portrait / Landscape,# of Stories,Install Season,Total Direct Time for Project for Hourly Employees (Including Drive Time),Total # of Days on Site,Total # Hourly Empoyees on Site,Estimated # of Salaried Employees on Site,Estimated Salary Hours,Estimated Total Direct Time,,Estimated Total # of People on Site,Notes,,,,,
,112,25 mins,26°,170°/260°,26,9.62,Enphase,Roof Mount,Yes,,Truss,No,Yes,A2,69.13,40.91,45.19,2,0,Asphalt Shingles,Flashfoot 2,Portrait,1,Summer,3:10:00,1,1,2,6:20:00,9:30:00,,3,Time data looks wrong to me,,,,,
,119,29 mins,24°,200°/110°,27,10.80,Enphase,Roof Mount,Yes,,Truss,No,No,A1,71.7,40,45,3,0,Asphalt Shingles,Flashfoot 2,Portrait,2,Summer,36:25:00,2,2,2,36:25:00,72:50:00,,4,,,,,,
,160,31 mins,24°,120°/210°,37,13.69,Enphase,Roof Mount,No,Yes,Truss,No,No,B1,69.4,40.8,43,5,0,Asphalt Shingles,Flashfoot 2,Portrait,2,Spring,48:00:00,3,3,1,16:00:00,64:00:00,,4,Data from here onwards is much more accurate,,,,,
,161,31 mins,30°,180°,14,5.60,Enphase,Roof Mount,Yes,No,Rafter,Yes,No,B2,71.7,40,45,1,1,Asphalt Shingles,Flashfoot 2,Portrait,1,Winter,14:45:00,2,2,1,7:22:30,22:07:30,,3,,,,,,
,162,22 mins,25°,180°,21,8.40,Enphase,Roof Mount,Yes,Yes,Truss,No,No,A4,71.7,40,45,2,0,Asphalt Shingles,Flashfoot 2,Portrait,2,Spring,36:15:00,2,2,0,0:00:00,36:15:00,,2,,,,,,
,163,23 mins,22°,180°,18,7.20,Enphase,Roof Mount,Yes,Yes,Rafter,Yes,No,B1,71.7,40,45,1,23,Asphalt Shingles,Flashfoot 2,Portrait,1,Winter,78:40:00,4,3,1,26:13:20,104:53:20,,4,,,,,,
,164,36 mins,30°,270°,18,8.10,SolarEdge,Roof Mount,Yes,No,Rafter,No,No,A*,82.79,40.94,55.12,4,0,Asphalt Shingles,Flashfoot 2,Portrait,1,Spring,44:30:00,3,3,0,0:00:00,44:30:00,,3,,,,,,
,165,31 mins,40°,170°,26,10.40,Enphase,Roof Mount,Yes,Yes,Truss,No,No,A1,71.7,40,45,3,0,Asphalt Shingles,Flashfoot 2,Portrait,2,Fall,69:30:00,2,4,0,0:00:00,69:30:00,,4,New construction,,,,,
,166,30 mins,26°/40°,260°/170°,24,9.36,SolarEdge,Roof Mount,Yes,No,Truss,No,No,A1,69.06,43.15,46.3,3,0,Asphalt Shingles,Flashfoot 2,Portrait,2,Spring,84:00:00,5,4,0,0:00:00,84:00:00,,4,New construction - lots of trips,,,,,
,167,24 mins,26°,190°,17,6.63,SolarEdge,Roof Mount,No,No,Truss,No,No,A1,69.06,43.15,46.3,1,0,Asphalt Shingles,Flashfoot 2,Portrait,2,Spring,52:40:00,3,3,0,0:00:00,52:40:00,,3,,,,,,
,168,16 mins,34°,205°,15,5.85,SolarEdge,Roof Mount,No,No,Truss,No,No,A4,69.06,43.15,46.3,2,0,Asphalt Shingles,Flashfoot 2,Portrait,1,Spring,21:15:00,1,2,0,0:00:00,21:15:00,,2,,,,,,
,169,32 mins,26°,90°,26,10.40,Enphase,Roof Mount,Yes,Yes,Truss,No,No,A1,71.7,40,45,2,0,Asphalt Shingles,Flashfoot 2,Portrait,2,Winter,56:30:00,2,3,1,18:50:00,75:20:00,,4,,,,,,
,170,14 mins,26°,200°,20,8.00,Enphase,Roof Mount,Yes,Yes,Truss,No,No,A1,71.7,40,45,2,0,Asphalt Shingles,Flashfoot 2,Portrait,2,Winter,45:20:00,3,3,0,0:00:00,45:20:00,,3,,,,,,
,171,37 mins,30°,180°,20,9.70,SMA,Ground Mount,No,No,Grount Mount,No,No,A*,87.2,41.1,64.2,1,0,Ground Mount,Ground Mount,Landscape,0,Spring,83:43:00,2,4,0,0:00:00,83:43:00,,4,,,,,,
,172,19 mins,19°,180°,16,6.40,Enphase,Roof Mount,Yes,No,Rafter,No,No,A1,71.7,40,45,1,0,Asphalt Shingles,Flashfoot 2,Portrait,2,Summer,31:35:00,1,4,0,0:00:00,31:35:00,,4,,,,,,
,173,56 mins,30°,180°,48,19.20,SMA,Ground Mount,No,No,Grount Mount,No,No,C*,74,41.1,48.5,2,0,Ground Mount,Ground Mount,Portrait,0,Spring,141:06:00,4,4,2,70:33:00,211:39:00,,6,,,,,,
,174,36 mins,30°,180°,9,4.37,SolarEdge,Ground Mount,No,No,Grount Mount,No,No,A1,87.2,41.1,64.2,1,0,Ground Mount,Ground Mount,Landscape,0,Spring,107:45:00,3,4,0,0:00:00,107:45:00,,4,,,,,,
,175,43 mins,30°,190°,9,3.60,SolarEdge,Roof Mount,Yes,No,Truss,No,No,C*,71.7,40,45,1,0,Asphalt Shingles,Flashfoot 2,Portrait,1,Spring,28:30:00,1,3,0,0:00:00,28:30:00,,3,,,,,,
,176,42 mins,26,240°/60°,50,24.25,SolarEdge,Roof Mount,Yes,No,Truss,No,No,A*,87.2,41.1,64.2,2,0,Asphalt Shingles,RT Mini,Portrait,1,Fall,128:30:00,5,5,2,51:24:00,179:54:00,,7,This is the time for both this project and the one below combined,,,,,
,178,44 mins,40°,180°,23,8.97,Enphase,Roof Mount,Yes,No,Truss,No,No,A1,69.06,43.15,46.3,1,0,Asphalt Shingles,Flashfoot 2,Portrait,1,Spring,31:15:00,1,3,0,0:00:00,31:15:00,,3,,,,,,
,179,7 mins,14°,260°,36,14.40,Enphase,Roof Mount,Yes,Yes,Truss,No,Yes,B2,71.7,40,45,2,0,Asphalt Shingles,Flashfoot 2,Portrait,1,Spring,38:45:00,2,3,0,0:00:00,38:45:00,,3,,,,,,
,180,24 mins,26°,205°,12,4.68,SolarEdge,Roof Mount,Yes,No,Truss,No,Yes,A1,69.06,43.15,46.3,2,0,Asphalt Shingles,Flashfoot 2,Portrait,1,Spring,52:25:00,2,3,0,0:00:00,52:25:00,,3,,,,,,
,181,7 mins,30°,180°,16,6.40,Enphase,Roof Mount,Yes,Yes,Truss,No,Yes,A1,71.7,40,45,1,0,Asphalt Shingles,Flashfoot 2,Portrait,1,Spring,34:15:00,1,5,0,0:00:00,34:15:00,,5,,,,,,
,182,58 mins,40°,165°,46,18.40,Enphase,Roof Mount,Yes,Yes,Truss,No,No,A1,71.7,40,45,4,0,Asphalt Shingles,Flashfoot 2,Portrait,2,Spring,91:35:00,3,5,1,18:19:00,109:54:00,,6,,,,,,
,183,21 mins,20°,100°/190°,26,10.14,Enphase,Roof Mount,Yes,Yes,Rafter,Yes,Yes,A2,69.06,43.15,46.3,3,9,Asphalt Shingles,Flashfoot 2,Both,2,Spring,76:45:00,4,3,0,0:00:00,76:45:00,,3,,,,,,
,184,13 mins,20°,190°,20,7.80,Enphase,Roof Mount,Yes,No,Truss,No,No,A1,69.06,43.15,46.3,1,0,Asphalt Shingles,Flashfoot 2,Portrait,2,Spring,24:00:00,2,2,1,12:00:00,36:00:00,,3,,,,,,
,185,9 mins,30°,122°,18,7.29,Enphase,Roof Mount,Yes,Yes,Truss,No,Yes,A1,71.7,40,45,1,0,Asphalt Shingles,Flashfoot 2,Portrait,1,Summer,32:35:00,1,4,0,0:00:00,32:35:00,,4,,,,,,
,186,20 mins,27°,180°,21,8.51,Enphase,Roof Mount,Yes,No,Truss,No,No,A1,71.7,40,45,1,0,Asphalt Shingles,Flashfoot 2,Portrait,2,Spring,32:45:00,2,2,1,16:22:30,49:07:30,,3,,,,,,
,187,28 mins,32°,180°,45,17.55,SolarEdge,Roof Mount,Yes,No,Truss,No,No,B1,69.06,43.15,46.3,3,0,Asphalt Shingles,Unknown,Portrait,1,Fall,75:30:00,4,4,1,18:52:30,94:22:30,,5,,,,,,
,188,25 mins,26°,90°,24,9.72,Enphase,Roof Mount,Yes,Yes,Truss,No,No,A1,71.7,40,45,1,0,Asphalt Shingles,Flashfoot 2,Portrait,2,Spring,35:30:00,2,3,0,0:00:00,35:30:00,,3,,,,,,
,189,21 mins,34°,100°,18,7.29,Enphase,Roof Mount,Yes,No,Truss,No,No,A4,71.7,40,45,1,0,Asphalt Shingles,Flashfoot 2,Portrait,1,Spring,18:30:00,1,2,1,9:15:00,27:45:00,,3,,,,,,
,190,17 mins,17°,260°,33,13.37,Enphase,Roof Mount,Yes,Yes,Rafter,No,No,A1,71.7,40,45,2,0,Asphalt Shingles,Unknown,Portrait,2,Spring,38:45:00,2,2,0,0:00:00,38:45:00,,2,,,,,,
,191,30 mins,30°/35°,255°/165°,18,7.29,Enphase,Roof Mount,Yes,No,Truss,No,No,A1,71.7,40,45,3,0,Asphalt Shingles,Flashfoot 2,Portrait,2,Summer,46:00:00,3,4,0,0:00:00,46:00:00,,4,,,,,,
,192,21 mins,27°,195°,18,7.29,Enphase,Roof Mount,Yes,No,Truss,No,No,A4,71.7,40,45,1,0,Asphalt Shingles,Flashfoot 2,Portrait,1,Summer,36:30:00,1,4,0,0:00:00,36:30:00,,4,,,,,,
,193,14 mins,23°,210°,26,10.53,Enphase,Roof Mount,Yes,No,Truss,No,No,A3,71.7,40,45,1,0,Asphalt Shingles,Flashfoot 2,Portrait,1,Summer,57:05:00,2,4,0,0:00:00,57:05:00,,4,,,,,,
,194,25 mins,30°,180°,44,23.54,Enphase,Ground Mount,Yes,Yes,Grount Mount,No,No,C3,89.69,44.65,70.11,1,0,Ground Mount,Ground Mount,Landscape,0,Summer,195:25:00,5,5,1,39:05:00,234:30:00,,6,,,,,,
,195,19 mins,30°,180°,38,15.39,Enphase,Roof Mount,Yes,No,Truss,No,No,A1,71.7,40,45,2,0,Asphalt Shingles,Flashfoot 2,Portrait,2,Summer,125:35:00,4,5,1,25:07:00,150:42:00,,6,,,,,,
,196,12 mins,17°,180°,17,6.89,Enphase,Roof Mount,Yes,Yes,Truss,No,No,A1,71.7,40,45,1,0,Asphalt Shingles,Flashfoot 2,Portrait,2,Spring,24:30:00,1,3,0,0:00:00,24:30:00,,3,,,,,,
,197,28 mins,27°,90°,18,7.29,Enphase,Roof Mount,No,No,Truss,No,Yes,A1,71.7,40,45,1,0,Asphalt Shingles,Flashfoot 2,Portrait,2,Summer,38:00:00,1,5,0,0:00:00,38:00:00,,5,,,,,,
,198,14 mins,19°,262°,20,8.10,Enphase,Roof Mount,Yes,Yes,Rafter,No,No,A1,71.7,40,45,1,0,Asphalt Shingles,Flashfoot 2,Portrait,1,Summer,54:15:00,2,4,0,0:00:00,54:15:00,,4,,,,,,
,199,1 hour 2 mins,22.6°,180°,18,7.29,Enphase,Roof Mount,No,No,Rafter,No,No,A1,71.7,40,45,1,0,Standing Seam Metal Roof,S-5!,Portrait,2,Summer,57:40:00,2,5,0,0:00:00,57:40:00,,5,,,,,,
,200,1 hour 3 mins,14°,180°,15,6.15,Enphase,Roof Mount,Yes,No,Rafter,No,No,A4,73.4,40.5,45.8,1,0,Asphalt Shingles,Unknown,Landscape,1,Summer,48:50:00,1,5,0,0:00:00,48:50:00,,5,,,,,,
,201,27 mins,27°,170°,16,6.48,Enphase,Roof Mount,Yes,Yes,Truss,No,Yes,A1,71.7,40,45,1,0,Asphalt Shingles,Flashfoot 2,Portrait,1,Summer,37:35:00,1,5,0,0:00:00,37:35:00,,5,,,,,,
,202,41 mins,22.6°,195°,18,7.29,Enphase,Roof Mount,Yes,No,Truss,No,No,A1,71.7,40,45,1,0,Asphalt Shingles,Flashfoot 2,Portrait,2,Summer,38:25:00,2,5,0,0:00:00,38:25:00,,5,New Construction - Lots of trips,,,,,
,203,36 mins,30°,180°,20,9.00,SolarEdge,Ground Mount,No,No,Grount Mount,No,No,A1,84.06,41.19,68.34,2,0,Ground Mount,Ground Mount,Portrait,0,Summer,104:50:00,3,4,1,26:12:30,131:02:30,,5,Long Trench,,,,,
,204,28 mins,26.6°,190°,22,8.91,Enphase,Roof Mount,Yes,Yes,Truss,No,No,B*,71.7,40,45,1,0,Asphalt Shingles,Flashfoot 2,Portrait,1,Summer,30:30:00,1,4,0,0:00:00,30:30:00,,4,,,,,,
,205,7 mins,22.6°,90°/180°/270°,28,11.34,Enphase,Roof Mount,Yes,Yes,Truss,No,Yes,A1,71.7,40,45,3,0,Asphalt Shingles,Flashfoot 2,Portrait,2,Summer,69:20:00,2,5,0,0:00:00,69:20:00,,5,,,,,,
,206,7 mins,18.4°,225°,6,2.34,Enphase,Roof Mount,Yes,No,Truss,No,Yes,A4,69.06,43.15,46.3,1,0,Asphalt Shingles,Unknown,Portrait,1,Summer,58:30:00,3,5,0,0:00:00,58:30:00,,5,Detached building + trench,,,,,
,207,12 mins,22°,180°/270°,30,12.15,Enphase,Roof Mount,No,Yes,Truss,No,No,A*,71.7,40,45,4,0,Standing Seam Metal Roof,S-5!,Portrait,2,Summer,67:40:00,3,5,0,0:00:00,67:40:00,,5,,,,,,
,208,23 mins,21°,180°,8,3.24,Enphase,Roof Mount,Yes,No,Rafter,Yes,Yes,A4,71.7,40,45,1,1,Asphalt Shingles,RT Mini,Landscape,2,Summer,36:00:00,1,4,0,0:00:00,36:00:00,,4,,,,,,
,209,28 mins,38°,180°,13,5.07,Enphase,Roof Mount,Yes,No,Truss,No,No,A1,69.06,43.15,46.3,1,0,Asphalt Shingles,Flashfoot 2,Portrait,1,Summer,33:10:00,1,4,0,0:00:00,33:10:00,,4,,,,,,
,210,34 mins,18.4°,165°,30,12.15,Enphase,Roof Mount,Yes,Yes,Truss,No,No,A1,71.7,40,45,2,0,Asphalt Shingles,RT Mini,Portrait,2,Summer,84:25:00,2,5,0,0:00:00,84:25:00,,5,New Construction,,,,,
,211,29 mins,26.6°,180°,20,8.10,Enphase,Roof Mount,Yes,Yes,Truss,No,No,A1,71.7,40,45,1,0,Asphalt Shingles,Flashfoot 2,Portrait,1,Summer,34:15:00,1,4,0,0:00:00,34:15:00,,4,,,,,,
,212,24 mins,50°,90°/180°/270°,13,5.27,Enphase,Roof Mount,Yes,No,Rafter,Yes,Yes,C1,71.7,40,45,4,3,Asphalt Shingles,Flashfoot 2,Portrait,2,Fall,71:15:00,2,4,0,0:00:00,71:15:00,,4,,,,,,
,213,23 mins,9.5°,0°,32,12.48,Enphase,Roof Mount,Yes,Yes,TJI,No,Yes,A*,69.06,43.15,46.3,1,0,Standing Seam Metal Roof,S-5!,Portrait,3,Summer,67:30:00,2,4,1,16:52:30,84:22:30,,5,Really weird project,,,,,
,214,29 mins,30°,18°,48,23.28,SolarEdge,Ground Mount,No,No,Grount Mount,No,No,C3,87.2,41.1,64.2,2,0,Ground Mount,Ground Mount,Portrait,0,Fall,117:00:00,4,4,1,29:15:00,146:15:00,,5,Long trench,,,,,
,215,28 mins,18°,185°,25,10.13,Enphase,Roof Mount,Yes,Yes,Truss,No,No,A2,71.7,40,45,1,0,Asphalt Shingles,Flashfoot 2,Portrait,1,Summer,66:50:00,2,5,0,0:00:00,66:50:00,,5,,,,,,
,216,21 mins,26°,180°,26,10.53,Enphase,Roof Mount,Yes,No,Truss,No,No,A1,71.7,40,45,1,0,Asphalt Shingles,Flashfoot 2,Portrait,2,Fall,36:45:00,1,4,0,0:00:00,36:45:00,,4,,,,,,
,217,21 mins,26°,180°,35,14.18,Enphase,Roof Mount,Yes,Yes,Truss,No,No,C1,71.7,40,45,4,0,Asphalt Shingles,Flashfoot 2,Portrait,2,Fall,78:15:00,3,4,0,0:00:00,78:15:00,,4,,,,,,
,218,25 mins,18.4°,180°,26,10.53,Enphase,Roof Mount,Yes,Yes,Truss,No,No,A3,71.7,40,45,3,0,Asphalt Shingles,Flashfoot 2,Portrait,2,Fall,65:45:00,2,4,0,0:00:00,65:45:00,,4,,,,,,
,219,23 mins,24°,215°,6,2.34,Enphase,Roof Mount,Yes,No,Truss,No,No,A*,69.06,43.15,46.3,1,0,Asphalt Shingles,Flashview,Portrait,1,Fall,73:30:00,3,4,0,0:00:00,73:30:00,,4,system addition,,,,,
,220,27 mins,24°,180°,16,6.48,Enphase,Roof Mount,Yes,No,Truss,No,Yes,B1,71.7,40,45,1,0,Asphalt Shingles,Flashfoot 2,Portrait,2,Fall,35:30:00,1,4,0,0:00:00,35:30:00,,4,,,,,,
,222,20 mins,30°,160°,39,15.80,Enphase,Roof Mount,Yes,Yes,Truss,No,No,A*,71.7,40,45,2,0,Asphalt Shingles,Flashfoot 2,Portrait,2,Fall,70:00:00,3,4,0,0:00:00,70:00:00,,4,,,,,,
,223,28 mins,10°,90°,18,7.02,Enphase,Roof Mount,Yes,No,TJI,No,Yes,A1,69.06,43.15,46.3,1,0,Asphalt Shingles,RT Mini,Landscape,1,Fall,62:30:00,3,4,1,15:37:30,78:07:30,,5,New Construction,,,,,
,224,18 mins,30°,180°/90°,20,8.20,Enphase,Roof Mount,Yes,No,Truss,No,No,A4,73.4,40.5,45.8,1,0,Asphalt Shingles,Flashfoot 2,Both,2,Fall,37:45:00,1,4,0,0:00:00,37:45:00,,4,,,,,,
,225,30 mins,27°/8°,270°/180°/90°,28,11.34,Enphase,Roof Mount,Yes,Yes,Truss,No,No,A1,71.7,40,45,3,0,Asphalt Shingles,Unknown,Portrait,2,Fall,58:15:00,2,4,0,0:00:00,58:15:00,,4,,,,,,
,226,39 mins,33°,165°,26,10.53,Enphase,Roof Mount,Yes,Yes,Truss,No,No,A1,71.7,40,45,1,0,Asphalt Shingles,Flashfoot 2,Portrait,1,Fall,27:45:00,1,4,0,0:00:00,27:45:00,,4,,,,,,
,227,21 mins,30°,135°,22,8.91,Enphase,Roof Mount,Yes,Yes,Rafter,Yes,Yes,B2,71.7,40,45,2,11,Asphalt Shingles,Flashfoot 2,Portrait,2,Fall,56:00:00,3,4,0,0:00:00,56:00:00,,4,,,,,,
,228,51 mins,30°,180°,20,9.60,SolarEdge,Ground Mount,No,No,Grount Mount,No,No,C*,87.2,41.1,64.2,1,0,Ground Mount,Ground Mount,Landscape,0,Fall,90:45:00,3,4,1,22:41:15,113:26:15,,5,,,,,,
,229,26 mins,17°,165°/225°,26,10.53,Enphase,Roof Mount,Yes,Yes,Rafter,Yes,No,A1,71.7,40,45,3,18,Asphalt Shingles,Flashfoot 2,Portrait,1,Fall,58:00:00,3,4,0,0:00:00,58:00:00,,4,"Some rework after the fact, but I don't think it's included in the time tracking data",,,,,
,230,29 mins,27°,180°,20,7.80,Enphase,Roof Mount,Yes,No,Rafter,Yes,No,A1,69.06,43.15,46.3,1,10,Asphalt Shingles,Flashfoot 2,Portrait,1,Winter,57:15:00,2,4,0,0:00:00,57:15:00,,4,,,,,,
,231,20 mins,27°,170°,24,9.36,SolarEdge,Roof Mount,Yes,No,TJI,No,No,A1,69.06,43.15,46.3,1,0,Asphalt Shingles,Flashfoot 2,Portrait,1,Winter,50:45:00,2,4,0,0:00:00,50:45:00,,4,,,,,,
,232,42 mins,26°,180°,2,0.74,N/A,Roof Mount,,,Rafter,Yes,No,A1,70.67,39.98,41.9,1,0,Asphalt Shingles,Flashfoot 2,Portrait,1,Fall,6:00:00,1,1,1,6:00:00,12:00:00,,2,,,,,,
,233,31 mins,18°,90°,20,8.10,Enphase,Roof Mount,Yes,No,Rafter,Yes,No,A1,71.7,40,45,1,12,Asphalt Shingles,Flashfoot 2,Portrait,1,Fall,35:15:00,1,4,0,0:00:00,35:15:00,,4,,,,,,
,238,20 mins,18.4°,180°,8,3.24,Enphase,Roof Mount,No,No,Purlin,No,Yes,A1,71.7,40,45,1,0,Ag Metal,Ejot,Landscape,1,Fall,45:00:00,2,4,0,0:00:00,45:00:00,,4,,,,,,
,239,26 mins,18.4°,180°/270°,26,10.53,Enphase,Roof Mount,Yes,Yes,Truss,No,Yes,A1,71.7,40,45,2,0,Asphalt Shingles,Flashfoot 2,Portrait,1,Winter,58:45:00,2,4,0,0:00:00,58:45:00,,4,,,,,,
,240,30 mins,17.5°,180°,60,24.30,Enphase,Roof Mount,No,No,Purlin,No,No,C3,71.7,40,45,1,0,Ag Metal,Ejot,Landscape,1,Summer,89:45:00,3,4,0,0:00:00,89:45:00,,4,,,,,,
,241,40 mins,22.6°,225°,16,6.48,Enphase,Roof Mount,No,No,Truss,No,No,A1,71.7,40,45,1,0,Standing Seam Metal Roof,S-5!,Portrait,1,Spring,31:15:00,1,4,0,0:00:00,31:15:00,,4,,,,,,
,242,52 mins,17°,176°/86°,40,17.60,SolarEdge,Roof Mount,Yes,No,Truss,No,No,C2,89.69,44.65,57.32,2,0,Asphalt Shingles,Flashfoot 2,Portrait,2,Winter,71:05:00,4,4,0,0:00:00,71:05:00,,4,,,,,,
,244,7 mins,33.7°,180°,7,2.84,Enphase,Roof Mount,Yes,No,Rafter,No,Yes,A1,71.7,40,45,1,0,Asphalt Shingles,Flashfoot 2,Portrait,1,Winter,29:00:00,1,4,0,0:00:00,29:00:00,,4,,,,,,
,245,27 mins,19°,180°,18,7.29,Enphase,Roof Mount,Yes,No,Truss,No,Yes,A1,71.7,40,45,3,0,Asphalt Shingles,Flashfoot 2,Portrait,2,Winter,59:30:00,2,4,0,0:00:00,59:30:00,,4,,,,,,
,246,30 mins,18°,206°/116°,19,7.70,Enphase,Roof Mount,Yes,No,Rafter,No,No,A4,71.7,40,45,2,0,Asphalt Shingles,Flashfoot 2,Portrait,1,Winter,34:30:00,1,4,0,0:00:00,34:30:00,,4,,,,,,
,247,25 mins,18°/27°,225°/135°/45°,16,7.04,GoodWe,Roof Mount,Yes,No,Truss,No,No,A1,89.69,44.65,57.32,3,0,Asphalt Shingles,Flashview,Both,2,Spring,40:40:00,2,4,0,0:00:00,40:40:00,,4,Adjusted direct time due to time tracking errors,,,,,
,248,25 mins,18°/27°,225°/135°,16,7.04,GoodWe,Roof Mount,Yes,No,Truss,No,No,A1,89.69,44.65,57.32,2,0,Asphalt Shingles,Flashview,Both,2,Spring,40:40:00,3,4,0,0:00:00,40:40:00,,4,Adjusted direct time due to time tracking errors,,,,,
,249,25 mins,18°/27°,225°/135°/45°,16,7.04,GoodWe,Roof Mount,Yes,No,Truss,No,No,A1,89.69,44.65,57.32,3,0,Asphalt Shingles,Flashview,Both,2,Spring,40:40:00,2,4,0,0:00:00,40:40:00,,4,Adjusted direct time due to time tracking errors,,,,,
,250,25 mins,18°/27°,225°/135°,16,7.04,GoodWe,Roof Mount,Yes,No,Truss,No,No,A1,89.69,44.65,57.32,2,0,Asphalt Shingles,Flashview,Both,2,Spring,40:40:00,2,4,0,0:00:00,40:40:00,,4,Adjusted direct time due to time tracking errors,,,,,
,251,50 mins,22.6°,230°,36,15.12,SolarEdge,Roof Mount,Yes,No,Truss,No,No,C3,68.1,44,47.4,1,0,Asphalt Shingles,Flashfoot 2,Portrait,3,Winter,86:45:00,5,4,0,0:00:00,86:45:00,,4,,,,,,
,252,23 mins,38°,135°/225°,13,5.27,Enphase,Roof Mount,Yes,Yes,Rafter,Yes,Yes,A1,71.7,40,45,3,10,Asphalt Shingles,Hugs,Portrait,1,Spring,61:15:00,2,4,0,0:00:00,61:15:00,,4,,,,,,
,253,9 mins,33°,185°/95°,26,10.53,Enphase,Roof Mount,Yes,Yes,Truss,No,Yes,A4,71.7,40,45,3,0,Asphalt Shingles,RT Mini,Both,1,Winter,58:15:00,3,4,0,0:00:00,58:15:00,,4,,,,,,
,254,36 mins,27°,200°/110°,33,13.37,Enphase,Roof Mount,Yes,Yes,Truss,No,No,A1,71.7,40,45,3,0,Asphalt Shingles,Flashfoot 2,Both,2,Spring,79:15:00,2,5,0,0:00:00,79:15:00,,5,,,,,,
,255,27 mins,18.4,180°,20,8.10,Enphase,Roof Mount,Yes,Yes,Truss,No,Yes,A1,71.7,40,45,1,0,Asphalt Shingles,Hugs,Portrait,1,Winter,33:30:00,1,4,0,0:00:00,33:30:00,,4,,,,,,
,256,21 mins,35°,180°,26,10.53,Enphase,Roof Mount,Yes,Yes,Truss,No,No,C1,71.7,40,45,1,0,Asphalt Shingles,Flashfoot 2,Portrait,2,Spring,70:30:00,3,3,0,0:00:00,70:30:00,,3,High winds slowed us down,,,,,
,257,25 mins,24°/14°,90°/180°/270°,25,10.00,Enphase,Roof Mount,Yes,No,Truss,No,Yes,A4,74.8,40.9,48,4,0,Asphalt Shingles,Unknown,Both,2,Spring,62:15:00,2,4,0,0:00:00,62:15:00,,4,,,,,,
,258,46 mins,18°,220°/130°,20,8.00,Enphase,Roof Mount,Yes,Yes,Truss,No,No,A1,74.8,40.9,48,2,0,Asphalt Shingles,Flashfoot 2,Portrait,2,Winter,78:15:00,3,4,1,19:33:45,97:48:45,,5,,,,,,
,259,18 mins,45°,90°,18,7.20,Enphase,Roof Mount,Yes,No,Rafter,No,Yes,A1,74.8,40.9,48,1,0,Asphalt Shingles,Flashview,Portrait,1,Spring,39:00:00,2,3,0,0:00:00,39:00:00,,3,,,,,,
,260,46 mins,10°,185°,47,18.80,Enphase,Roof Mount,No,No,Truss,No,No,C3,74.8,40.9,48,1,0,Standing Seam Metal Roof,S-5!,Portrait,1,Spring,53:30:00,2,3,0,0:00:00,53:30:00,,3,,,,,,
,261,27 mins,27°,180°/90°,13,5.20,Enphase,Roof Mount,Yes,Yes,Truss,No,Yes,A4,74.8,40.9,48,2,0,Asphalt Shingles,Flashfoot 2,Portrait,1,Spring,24:00:00,1,3,0,0:00:00,24:00:00,,3,,,,,,
,262,26 mins,26°,90°/180°,12,4.86,Enphase,Roof Mount,Yes,No,Truss,No,Yes,A1,71.7,40,45,2,0,Asphalt Shingles,Flashview,Portrait,1,Spring,38:00:00,2,4,0,0:00:00,38:00:00,,4,,,,,,
,263,26 mins,26°,225°,12,4.86,Enphase,Roof Mount,Yes,No,Truss,No,Yes,A1,71.7,40,45,2,0,Asphalt Shingles,Flashfoot 2,Portrait,1,Spring,25:15:00,1,4,0,0:00:00,25:15:00,,4,,,,,,
,264,26 mins,26°,90°/180°,12,4.86,Enphase,Roof Mount,Yes,No,Truss,No,Yes,A1,71.7,40,45,3,0,Asphalt Shingles,Flashview,Portrait,1,Winter,41:00:00,2,3,0,0:00:00,41:00:00,,3,,,,,,
,265,30 mins,34°,110°/200°,31,12.56,Enphase,Roof Mount,Yes,Yes,Truss,No,Yes,A1,71.7,40,45,3,0,Asphalt Shingles,Flashfoot 2,Portrait,2,Spring,101:15:00,6,4,0,0:00:00,101:15:00,,4,Rough electrical ahead of time. Also installed an EV charger,,,,,
,266,24 mins,27°,220°,14,5.60,Enphase,Roof Mount,Yes,Yes,Truss,No,No,C2,74.8,40.9,48,1,0,Asphalt Shingles,Flashview,Portrait,1,Spring,37:15:00,2,4,0,0:00:00,37:15:00,,4,,,,,,
,267,31 mins,20,100/190,34,13.77,Enphase,Roof Mount,Yes,Yes,Truss,No,No,A1,71.7,40,45,4,0,Asphalt Shingles,Flashfoot 2,Portrait,2,Spring,86:30:00,4,5,0,0:00:00,86:30:00,,5,,,,,,
,268,28 mins,18°,170°,24,9.60,Enphase,Roof Mount,Yes,No,Truss,No,No,A1,74.8,40.9,48,1,0,Asphalt Shingles,Flashfoot 2,Portrait,1,Spring,26:30:00,1,3,0,0:00:00,26:30:00,,3,,,,,,
,269,20 mins,33°,145°/232°,20,8.00,Enphase,Roof Mount,Yes,Yes,Truss,No,No,A3,74.8,40.9,48,3,0,Asphalt Shingles,Flashfoot 2,Portrait,2,Spring,67:30:00,2,5,0,0:00:00,67:30:00,,5,,,,,,
